Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,0.001,,,Horizontal Scale,0.001
Horizontal Delay,-0.00064,,,Horizontal Delay,-0.00064
Sample Interval,1e-07,,,Sample Interval,1e-07
Record Length,100000,,,Record Length,100000
Gating,54.100% to 58.100%,,,Gating,54.100% to 58.100%
Probe Attenuation,1,1,,Probe Attenuation,1
Vertical Units,V,V,,Vertical Units,V
Vertical Offset,0,0,,Vertical Offset,0
Vertical Scale,0.02,0.02,,Vertical Scale,0.01
Vertical Position,0,0,,Vertical Position,0
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,"MATH<CH2-CH1>"
-2.301000e-04,0.0341938,0.0400844,,-2.301000e-04,0.00593281
-2.300000e-04,0.0341969,0.0401094,,-2.300000e-04,0.00593438
-2.299000e-04,0.0341656,0.0401063,,-2.299000e-04,0.00594375
-2.298000e-04,0.0341719,0.0401156,,-2.298000e-04,0.00597188
-2.297000e-04,0.0342125,0.0401469,,-2.297000e-04,0.00595781
-2.296000e-04,0.0341531,0.0401219,,-2.296000e-04,0.00598906
-2.295000e-04,0.0341875,0.0400688,,-2.295000e-04,0.00591562
-2.294000e-04,0.0342344,0.0401375,,-2.294000e-04,0.00593594
-2.293000e-04,0.03415,0.0400406,,-2.293000e-04,0.00591562
-2.292000e-04,0.0341844,0.0401437,,-2.292000e-04,0.00597812
-2.291000e-04,0.0341656,0.040175,,-2.291000e-04,0.00604375
-2.290000e-04,0.0342219,0.0401219,,-2.290000e-04,0.00592656
-2.289000e-04,0.0341438,0.0400688,,-2.289000e-04,0.00594687
-2.288000e-04,0.034075,0.0400594,,-2.288000e-04,0.00600469
-2.287000e-04,0.0341469,0.0399969,,-2.287000e-04,0.0059
-2.286000e-04,0.034175,0.0400187,,-2.286000e-04,0.00586719
-2.285000e-04,0.0341375,0.0400344,,-2.285000e-04,0.00592188
-2.284000e-04,0.0340969,0.0400063,,-2.284000e-04,0.00595469
-2.283000e-04,0.0341375,0.040175,,-2.283000e-04,0.00607031
-2.282000e-04,0.0340719,0.0400344,,-2.282000e-04,0.00598281
-2.281000e-04,0.0341375,0.0400938,,-2.281000e-04,0.00597812
-2.280000e-04,0.0341625,0.04005,,-2.280000e-04,0.00591875
-2.279000e-04,0.0340312,0.0399875,,-2.279000e-04,0.00598906
-2.278000e-04,0.034,0.040075,,-2.278000e-04,0.00609844
-2.277000e-04,0.0340375,0.0401063,,-2.277000e-04,0.00608125
-2.276000e-04,0.0340375,0.0399938,,-2.276000e-04,0.00597812
-2.275000e-04,0.034125,0.0400344,,-2.275000e-04,0.00594375
-2.274000e-04,0.0339687,0.0401406,,-2.274000e-04,0.00618281
-2.273000e-04,0.033975,0.0399688,,-2.273000e-04,0.00602031
-2.272000e-04,0.0339625,0.0399844,,-2.272000e-04,0.00606094
-2.271000e-04,0.0340063,0.039975,,-2.271000e-04,0.00599688
-2.270000e-04,0.0340375,0.0400125,,-2.270000e-04,0.00598281
